,index,layer,chord_class,num_in_layer,count,chord_class_name,enantiomer
119,15,5,"(0, 1, 2, 5, 8)",16,12,"(0, 1, 2, 5, 8)","[0, 11, 10, 7, 4]"
120,14,5,"(0, 1, 2, 5, 7)",15,12,"(0, 1, 2, 5, 7)","[0, 11, 10, 7, 5]"
121,13,5,"(0, 1, 2, 5, 6)",14,12,"(0, 1, 2, 5, 6)","[0, 11, 10, 7, 6]"
122,12,5,"(0, 1, 2, 4, 10)",13,12,"(0, 1, 2, 4, 10)",non-chiral
123,11,5,"(0, 1, 2, 4, 9)",12,12,"(0, 1, 2, 4, 9)","[0, 11, 10, 8, 3]"
124,10,5,"(0, 1, 2, 4, 8)",11,12,"(0, 1, 2, 4, 8)","[0, 11, 10, 8, 4]"
125,9,5,"(0, 1, 2, 4, 7)",10,12,"(0, 1, 2, 4, 7)","[0, 11, 10, 8, 5]"
126,8,5,"(0, 1, 2, 4, 6)",9,12,"(0, 1, 2, 4, 6)","[0, 11, 10, 8, 6]"
127,7,5,"(0, 1, 2, 4, 5)",8,12,"(0, 1, 2, 4, 5)","[0, 11, 10, 8, 7]"
128,6,5,"(0, 1, 2, 3, 10)",7,12,"(0, 1, 2, 3, 10)","[0, 11, 10, 9, 2]"
129,5,5,"(0, 1, 2, 3, 9)",6,12,"(0, 1, 2, 3, 9)","[0, 11, 10, 9, 3]"
130,4,5,"(0, 1, 2, 3, 8)",5,12,"(0, 1, 2, 3, 8)","[0, 11, 10, 9, 4]"
131,3,5,"(0, 1, 2, 3, 7)",4,12,"(0, 1, 2, 3, 7)","[0, 11, 10, 9, 5]"
132,2,5,"(0, 1, 2, 3, 6)",3,12,"(0, 1, 2, 3, 6)","[0, 11, 10, 9, 6]"
133,1,5,"(0, 1, 2, 3, 5)",2,12,"(0, 1, 2, 3, 5)","[0, 11, 10, 9, 7]"
134,0,5,"(0, 1, 2, 3, 4)",1,12,"(0, 1, 2, 3, 4)",non-chiral
135,79,6,"(0, 2, 4, 6, 8, 10)",80,2,wholetone_scale,non-chiral
136,78,6,"(0, 1, 4, 6, 8, 10)",79,12,"(0, 1, 4, 6, 8, 10)","[0, 11, 8, 6, 4, 2]"
137,77,6,"(0, 1, 4, 6, 7, 10)",78,6,"(0, 1, 4, 6, 7, 10)","[0, 11, 8, 6, 5, 2]"
138,76,6,"(0, 1, 4, 5, 8, 10)",77,12,"(0, 1, 4, 5, 8, 10)","[0, 11, 8, 7, 4, 2]"
139,75,6,"(0, 1, 4, 5, 8, 9)",76,4,augmented_scale,non-chiral
140,74,6,"(0, 1, 3, 6, 8, 10)",75,12,"(0, 1, 3, 6, 8, 10)","[0, 11, 9, 6, 4, 2]"
141,73,6,"(0, 1, 3, 6, 8, 9)",74,12,"(0, 1, 3, 6, 8, 9)",non-chiral
142,72,6,"(0, 1, 3, 6, 7, 10)",73,12,"(0, 1, 3, 6, 7, 10)",non-chiral
143,71,6,"(0, 1, 3, 6, 7, 9)",72,6,"(0, 1, 3, 6, 7, 9)","[0, 11, 9, 6, 5, 3]"
144,70,6,"(0, 1, 3, 5, 8, 10)",71,12,major_7_no_avoid,non-chiral
145,69,6,"(0, 1, 3, 5, 8, 9)",70,12,"(0, 1, 3, 5, 8, 9)","[0, 11, 9, 7, 4, 3]"
146,68,6,"(0, 1, 3, 5, 7, 10)",69,12,"(0, 1, 3, 5, 7, 10)","[0, 11, 9, 7, 5, 2]"
147,67,6,"(0, 1, 3, 5, 7, 9)",68,12,"(0, 1, 3, 5, 7, 9)","[0, 11, 9, 7, 5, 3]"
148,66,6,"(0, 1, 3, 5, 7, 8)",67,12,"(0, 1, 3, 5, 7, 8)",non-chiral
149,65,6,"(0, 1, 3, 5, 6, 10)",66,12,"(0, 1, 3, 5, 6, 10)","[0, 11, 9, 7, 6, 2]"
150,64,6,"(0, 1, 3, 5, 6, 9)",65,12,"(0, 1, 3, 5, 6, 9)",non-chiral
151,63,6,"(0, 1, 3, 5, 6, 8)",64,12,"(0, 1, 3, 5, 6, 8)","[0, 11, 9, 7, 6, 4]"
152,62,6,"(0, 1, 3, 4, 8, 10)",63,12,"(0, 1, 3, 4, 8, 10)","[0, 11, 9, 8, 4, 2]"
153,61,6,"(0, 1, 3, 4, 8, 9)",62,12,"(0, 1, 3, 4, 8, 9)","[0, 11, 9, 8, 4, 3]"
154,60,6,"(0, 1, 3, 4, 7, 10)",61,12,"(0, 1, 3, 4, 7, 10)","[0, 11, 9, 8, 5, 2]"
155,59,6,"(0, 1, 3, 4, 7, 9)",60,12,"(0, 1, 3, 4, 7, 9)",non-chiral
156,58,6,"(0, 1, 3, 4, 7, 8)",59,12,"(0, 1, 3, 4, 7, 8)","[0, 11, 9, 8, 5, 4]"
157,57,6,"(0, 1, 3, 4, 6, 10)",58,12,"(0, 1, 3, 4, 6, 10)",non-chiral
158,56,6,"(0, 1, 3, 4, 6, 9)",57,12,"(0, 1, 3, 4, 6, 9)","[0, 11, 9, 8, 6, 3]"
159,55,6,"(0, 1, 3, 4, 6, 8)",56,12,"(0, 1, 3, 4, 6, 8)","[0, 11, 9, 8, 6, 4]"
160,54,6,"(0, 1, 3, 4, 6, 7)",55,12,"(0, 1, 3, 4, 6, 7)",non-chiral
161,53,6,"(0, 1, 2, 7, 9, 10)",54,12,"(0, 1, 2, 7, 9, 10)","[0, 11, 10, 5, 3, 2]"
162,52,6,"(0, 1, 2, 7, 8, 10)",53,12,"(0, 1, 2, 7, 8, 10)","[0, 11, 10, 5, 4, 2]"
